id,app,name,applied
1,contenttypes,0001_initial,2016-04-14 14:33:15
2,auth,0001_initial,2016-04-14 14:33:16
3,admin,0001_initial,2016-04-14 14:33:16
4,admin,0002_logentry_remove_auto_add,2016-04-14 14:33:16
5,contenttypes,0002_remove_content_type_name,2016-04-14 14:33:16
6,auth,0002_alter_permission_name_max_length,2016-04-14 14:33:16
7,auth,0003_alter_user_email_max_length,2016-04-14 14:33:16
8,auth,0004_alter_user_username_opts,2016-04-14 14:33:16
9,auth,0005_alter_user_last_login_null,2016-04-14 14:33:16
10,auth,0006_require_contenttypes_0002,2016-04-14 14:33:16
11,auth,0007_alter_validators_add_error_messages,2016-04-14 14:33:16
12,authtoken,0001_initial,2016-04-14 14:33:16
13,authtoken,0002_auto_20160226_1747,2016-04-14 14:33:16
14,sessions,0001_initial,2016-04-14 14:33:16
29,backend,0001_initial,2016-04-19 18:18:02
30,backend,0002_auto_20160419_1818,2016-04-19 18:18:25
31,backend,0003_auto_20160419_1952,2016-04-19 19:52:29
32,backend,0004_auto_20160419_2001,2016-04-19 20:01:13
33,backend,0005_auto_20160419_2013,2016-04-19 20:15:31
34,backend,0006_auto_20160419_2014,2016-04-19 20:15:31
35,backend,0007_auto_20160420_1627,2016-04-20 16:30:21
36,backend,0008_auto_20160420_1635,2016-04-20 16:35:08
37,backend,0009_remove_tmetryentrybeacon_timestamp,2016-04-22 19:59:53
38,backend,0010_auto_20160425_1624,2016-04-25 16:24:53
39,backend,0011_auto_20160507_1806,2016-05-07 18:07:59
40,mockup,0001_initial,2016-05-07 18:08:54
41,mockup,0002_auto_20160507_1900,2016-05-07 19:00:31
42,mockup,0003_auto_20160507_1902,2016-05-07 19:02:36
43,backend,0012_tmetryentrybeacon_major,2016-05-07 19:42:00
44,backend,0011_auto_20160510_1554,2016-05-10 23:16:05
45,backend,0012_auto_20160510_2017,2016-05-15 18:37:15
46,backend,0013_auto_20160510_2019,2016-05-15 18:37:15
47,backend,0014_auto_20160510_2022,2016-05-15 18:37:15
48,backend,0015_auto_20160524_1058,2016-05-24 16:21:43
49,backend,0016_checklist_description,2016-06-02 21:00:17
50,backend,0017_auto_20160610_1041,2016-06-13 15:34:02
51,backend,0018_beaconconfigurationregion,2016-06-13 21:41:26
52,backend,0019_auto_20160613_1645,2016-06-13 21:46:25
53,backend,0020_auto_20160615_1836,2016-06-15 23:42:57
54,backend,0021_patientdetailentry,2016-11-04 16:15:07
55,backend,0022_patientdetailentry_workday,2016-11-04 16:15:08
